Date,Open,High,Low,Close,Adj Close,Volume
2015-08-28,533.5,534.0,524.0,532.0,504.59048499999994,288635
2015-08-31,531.0,537.0,527.5,533.5,506.01318399999997,256503
2015-09-01,530.0,535.0,517.5,523.5,496.52838099999997,484458
2015-09-02,527.0,538.0,521.5,530.5,503.167755,359854
2015-09-03,536.0,550.0,535.5,545.5,517.394897,523200
2015-09-04,543.0,549.5,538.5,538.5,510.75549299999994,972554
2015-09-07,543.5,546.5,541.0,545.0,516.9205929999999,200990
2015-09-08,549.5,557.5,548.5,551.5,523.085754,321178
2015-09-09,560.0,562.5,550.0,552.0,523.5599980000001,302357
2015-09-10,547.5,560.5,545.5,555.5,526.8797,444659
2015-09-11,556.0,556.0,545.5,547.0,518.8176269999999,260876
2015-09-14,550.5,557.0,546.5,547.5,519.291809,466904
2015-09-15,546.0,554.5,540.5,552.5,524.0342410000001,280487
2015-09-16,556.5,557.0,548.5,555.0,526.405396,250682
2015-09-17,555.0,556.5,547.5,550.5,522.137268,270139
2015-09-18,550.5,561.0,545.5,557.5,528.776611,834842
2015-09-21,561.5,570.5,559.5,567.0,537.787109,755070
2015-09-22,562.0,562.0,540.0,540.0,512.178223,648513
2015-09-23,539.0,547.5,537.0,543.5,515.497925,307764
2015-09-24,543.0,545.0,537.0,539.0,511.229828,605702
2015-09-25,545.5,557.0,545.5,554.5,525.931213,299087
2015-09-28,550.0,557.5,538.5,538.5,510.75549299999994,319305
2015-09-29,532.0,532.5,521.5,528.0,500.79647800000004,551324
2015-09-30,533.5,538.5,530.0,531.5,504.116211,393633
2015-10-01,537.5,542.5,526.5,528.0,500.79647800000004,268117
2015-10-02,534.0,538.5,518.0,528.0,500.79647800000004,319206
2015-10-05,535.0,539.5,530.5,537.0,509.33276399999994,323957
2015-10-06,537.0,539.5,529.0,529.5,502.21923799999996,282146
2015-10-07,530.5,530.5,519.0,520.0,493.208679,648153
2015-10-08,518.0,530.0,518.0,526.5,499.373779,321160
2015-10-09,533.5,534.0,522.0,528.5,501.27078200000005,566693
2015-10-12,527.5,530.0,523.5,526.0,498.89959699999997,341521
2015-10-13,526.5,526.5,511.0,514.5,487.992096,692420
2015-10-14,513.0,514.5,507.0,511.5,485.146637,411834
2015-10-15,514.0,525.5,512.5,525.0,497.951111,580412
2015-10-16,525.0,527.5,515.5,526.5,499.373779,649766
2015-10-19,526.5,537.5,526.5,535.0,507.43591299999997,329919
2015-10-20,534.5,534.5,515.5,518.0,491.311737,573418
2015-10-21,516.5,516.5,505.5,509.0,482.775452,779736
2015-10-22,510.5,522.0,510.0,522.0,495.105621,393639
2015-10-23,528.0,536.5,523.0,532.0,504.59048499999994,452618
2015-10-26,529.5,538.5,529.5,535.0,507.43591299999997,251288
2015-10-27,532.5,536.0,528.5,531.5,504.116211,220907
2015-10-28,534.0,542.5,532.5,541.0,513.12677,318864
2015-10-29,544.5,550.0,539.5,547.5,519.291809,429066
2015-10-30,548.5,550.0,545.5,548.0,519.766052,228404
2015-11-02,542.5,547.0,539.0,546.5,518.343384,334106
2015-11-03,549.5,552.0,547.0,548.0,519.766052,284549
2015-11-04,550.5,555.0,548.0,548.5,520.2403559999999,505821
2015-11-05,560.0,570.0,557.0,559.5,530.673645,598033
2015-11-06,559.5,562.0,549.5,555.5,526.8797,427593
2015-11-09,554.5,556.0,543.5,546.5,518.343384,266166
2015-11-10,546.0,550.5,544.5,546.0,517.8690799999999,273843
2015-11-11,549.0,557.5,546.0,554.0,525.4569700000001,242586
2015-11-12,551.5,553.0,538.0,538.0,510.281281,373343
2015-11-13,535.0,543.0,529.0,542.0,514.075256,439211
2015-11-16,537.0,564.5,535.0,561.5,532.570496,678022
2015-11-17,565.0,586.5,565.0,586.0,555.808289,900954
2015-11-18,584.0,586.0,575.5,586.0,555.808289,457904
2015-11-19,584.0,586.0,575.5,586.0,555.808289,457904
2015-11-20,589.0,595.5,589.0,595.5,564.818787,384886
2015-11-23,589.0,595.5,589.0,595.5,564.818787,36900
2015-11-24,590.0,591.0,582.5,585.5,555.333984,847806
2015-11-25,586.5,596.5,584.5,594.0,563.396118,484543
2015-11-26,595.0,599.5,592.0,597.5,566.7156980000001,323889
2015-11-27,595.0,596.5,589.5,595.0,564.344604,416568
2015-11-30,593.0,594.5,589.5,592.0,561.499084,556668
2015-12-01,593.5,595.0,589.0,592.5,561.973389,345245
2015-12-02,598.0,606.5,597.0,597.0,566.241577,790488
2015-12-03,597.0,602.0,575.0,576.5,546.797791,1013391
2015-12-04,576.0,576.0,567.5,570.0,540.632568,519114
2015-12-07,574.0,584.0,571.5,578.0,548.220398,409552
2015-12-08,578.0,580.0,567.0,568.5,539.2099,384699
2015-12-09,569.0,570.0,563.0,565.5,536.3645019999999,424736
2015-12-10,567.0,569.0,561.5,566.5,537.312988,222617
2015-12-11,565.5,568.0,560.0,561.0,532.096375,364511
2015-12-14,560.0,565.5,549.0,550.5,522.137268,426010
2015-12-15,554.5,565.5,551.0,564.0,534.941772,450540
2015-12-16,554.5,565.5,551.0,564.0,534.941772,450540
2015-12-17,575.0,578.0,566.5,568.0,538.7356570000001,293408
2015-12-18,565.0,566.0,559.0,560.5,531.6220089999999,349568
2015-12-21,565.0,566.0,559.0,560.5,531.6220089999999,36800
2015-12-22,557.0,558.0,549.0,551.5,523.085754,371802
2015-12-23,558.5,571.5,558.0,571.5,542.055298,276176
2015-12-28,571.5,574.0,562.5,567.0,537.787109,136647
2015-12-29,569.0,575.5,569.0,575.0,545.3750610000001,255226
2015-12-30,574.5,581.0,573.0,578.0,548.220398,339148
2016-01-04,571.0,571.0,559.5,559.5,530.673645,458481
2016-01-05,565.5,573.5,562.0,562.0,533.0447389999999,273999
2016-01-07,556.5,562.0,544.5,546.5,518.343384,1038584
2016-01-08,547.0,555.0,542.5,542.5,514.549438,438766
2016-01-11,540.0,542.0,531.5,531.5,504.116211,482401
2016-01-12,532.5,539.5,529.0,534.0,506.487396,364973
2016-01-13,541.0,549.5,541.0,545.0,516.9205929999999,320403
2016-01-14,540.0,540.0,523.5,535.5,507.910095,571398
2016-01-15,536.5,537.5,516.5,520.5,493.682953,499565
2016-01-18,520.0,530.5,518.0,519.5,492.734467,457679
2016-01-19,531.5,534.0,523.0,525.0,497.951111,502509
2016-01-20,516.0,523.0,509.5,516.5,489.88897699999995,379639
2016-01-21,524.0,531.0,519.0,523.5,496.52838099999997,562980
2016-01-22,531.0,543.0,529.0,541.0,513.12677,675570
2016-01-25,541.5,546.5,537.5,544.5,516.446472,487288
2016-01-26,535.0,545.0,529.5,543.5,515.497925,591835
2016-01-27,543.5,546.5,538.5,544.0,515.972107,399152
2016-01-28,542.5,548.5,528.5,533.0,505.53891,869217
2016-01-29,541.5,548.5,538.0,547.5,519.291809,425618
2016-02-01,550.0,556.0,542.5,552.5,524.0342410000001,452429
2016-02-02,553.0,559.0,550.5,556.0,527.353882,582444
2016-02-03,554.5,562.5,544.0,547.5,519.291809,604235
2016-02-04,540.5,542.0,500.0,510.0,483.72390700000005,1268961
2016-02-05,509.0,513.0,501.5,505.5,479.45575,730314
2016-02-08,509.0,509.5,478.5,478.799988,454.13137800000004,858358
2016-02-09,481.39999400000005,488.89999400000005,474.299988,480.700012,455.933502,1025125
2016-02-10,482.5,496.299988,479.39999400000005,492.700012,467.315247,692083
2016-02-11,489.60000599999995,495.700012,481.0,485.5,460.486206,1207010
2016-02-12,492.39999400000005,496.200012,487.799988,496.200012,470.63491799999997,533130
2016-02-15,506.0,515.5,504.0,514.5,487.992096,710752
2016-02-16,517.0,517.0,501.5,510.0,483.72390700000005,427754
2016-02-17,512.0,524.5,509.0,524.5,497.476807,629701
2016-02-18,515.0,515.0,501.0,504.0,479.22995,688360
2016-02-19,504.0,504.5,492.200012,495.39999400000005,471.052612,715062
2016-02-22,499.799988,502.5,496.299988,501.5,476.852875,421637
2016-02-23,498.200012,501.5,493.299988,496.799988,472.38382,519895
2016-02-24,497.5,498.10000599999995,484.60000599999995,486.10000599999995,462.209717,447940
2016-02-25,490.0,502.0,487.799988,502.0,477.328278,484667
2016-02-26,505.5,507.5,497.10000599999995,503.0,478.279114,328344
2016-02-29,499.0,501.0,488.799988,493.5,469.246033,500849
2016-03-01,494.39999400000005,497.0,487.5,493.0,468.770599,1265669
2016-03-02,496.89999400000005,498.700012,491.700012,495.0,470.67227199999996,921442
2016-03-03,497.39999400000005,499.0,484.200012,485.0,461.16375700000003,624529
2016-03-04,489.799988,489.799988,483.0,486.299988,462.39984100000004,452897
2016-03-07,486.89999400000005,487.5,482.60000599999995,485.5,461.63919100000004,388344
2016-03-08,484.60000599999995,492.39999400000005,481.299988,490.200012,466.10818499999993,541246
2016-03-09,490.200012,495.39999400000005,487.89999400000005,490.39999400000005,466.29837000000003,426463
2016-03-10,490.0,499.700012,484.200012,484.299988,460.498138,622739
2016-03-11,489.5,491.799988,486.39999400000005,488.299988,464.30154400000004,386711
2016-03-14,490.10000599999995,490.299988,486.39999400000005,487.10000599999995,463.16058300000003,421288
2016-03-15,485.0,485.700012,474.0,477.5,454.032349,660019
2016-03-16,476.5,476.799988,468.700012,472.5,449.278076,574864
2016-03-17,474.299988,474.299988,464.89999400000005,470.700012,447.566559,618461
2016-03-18,471.10000599999995,472.60000599999995,465.299988,467.60000599999995,444.6189269999999,540358
2016-03-21,465.299988,470.299988,463.0,465.5,442.62213099999997,488188
2016-03-22,464.60000599999995,464.799988,455.299988,463.10000599999995,440.340088,867853
2016-03-23,462.39999400000005,466.5,457.10000599999995,464.10000599999995,441.290955,658267
2016-03-24,463.200012,463.89999400000005,459.700012,462.299988,439.579407,270642
2016-03-29,465.39999400000005,469.200012,461.799988,464.5,441.67126500000006,343589
2016-03-30,469.89999400000005,470.5,463.10000599999995,464.299988,441.481079,530441
2016-03-31,463.200012,463.200012,456.700012,459.799988,437.202271,522238
2016-04-01,456.89999400000005,458.0,448.10000599999995,457.60000599999995,435.110382,647053
2016-04-04,459.0,468.799988,457.39999400000005,465.0,442.1466980000001,539137
2016-04-05,462.299988,463.89999400000005,459.10000599999995,459.5,436.916992,489160
2016-04-06,461.200012,479.39999400000005,460.10000599999995,478.89999400000005,455.36355599999996,1141047
2016-04-07,482.0,490.39999400000005,481.700012,482.700012,458.976776,992821
2016-04-08,485.5,486.5,478.5,481.5,457.835785,664813
2016-04-11,480.700012,482.799988,475.0,477.10000599999995,453.65203899999995,435053
2016-04-12,470.89999400000005,473.10000599999995,464.700012,473.10000599999995,449.84860199999997,898416
2016-04-13,478.799988,481.10000599999995,475.0,479.89999400000005,456.314392,576701
2016-04-14,480.0,486.60000599999995,479.89999400000005,481.60000599999995,457.930878,473460
2016-04-15,482.0,486.60000599999995,481.60000599999995,482.89999400000005,459.166931,614674
2016-04-18,481.0,489.5,479.700012,488.10000599999995,464.11142,403854
2016-04-19,489.700012,491.799988,486.5,489.89999400000005,465.822937,558883
2016-04-20,487.700012,488.0,482.10000599999995,487.799988,463.826141,387071
2016-04-21,491.0,491.0,482.39999400000005,489.0,464.96719400000006,311086
2016-04-22,489.200012,492.0,485.700012,486.0,462.11462400000005,202733
2016-04-25,487.39999400000005,490.700012,485.60000599999995,486.60000599999995,462.68512000000004,284396
2016-04-26,486.5,489.39999400000005,479.10000599999995,479.89999400000005,456.314392,363606
2016-04-27,478.89999400000005,480.200012,474.5,475.89999400000005,452.511017,380629
2016-04-28,473.299988,474.799988,466.200012,474.799988,451.465088,406964
2016-04-29,473.10000599999995,486.10000599999995,468.299988,470.0,446.90097000000003,696700
2016-05-02,475.0,477.299988,462.5,463.89999400000005,441.100769,287658
2016-05-03,464.39999400000005,466.299988,453.39999400000005,463.5,440.720428,744576
2016-05-04,461.60000599999995,464.39999400000005,454.5,457.39999400000005,434.92022699999995,325984
2016-05-06,455.799988,456.60000599999995,450.39999400000005,452.799988,430.54626500000006,511984
2016-05-09,453.89999400000005,471.200012,453.89999400000005,470.0,446.90097000000003,558503
2016-05-10,474.200012,475.0,468.0,470.0,446.90097000000003,411540
2016-05-11,470.200012,471.0,466.299988,469.799988,446.710785,299329
2016-05-12,468.39999400000005,473.700012,462.0,465.89999400000005,443.00247199999995,340163
2016-05-13,465.0,473.60000599999995,461.89999400000005,473.200012,449.94372599999997,302296
2016-05-16,473.0,473.0,466.299988,471.39999400000005,448.232147,252556
2016-05-17,476.0,480.299988,474.0,474.89999400000005,451.56015,558746
2016-05-18,474.0,479.60000599999995,473.39999400000005,479.39999400000005,455.83898899999997,546937
2016-05-19,479.0,481.0,470.10000599999995,470.10000599999995,446.996033,409234
2016-05-20,474.799988,478.60000599999995,471.60000599999995,478.10000599999995,454.602875,409112
2016-05-23,477.89999400000005,481.200012,472.5,478.299988,454.79305999999997,417690
2016-05-24,476.60000599999995,488.200012,476.10000599999995,487.60000599999995,463.63598600000006,440737
2016-05-25,489.799988,497.5,489.10000599999995,496.10000599999995,471.71823099999995,624836
2016-05-26,496.10000599999995,498.89999400000005,489.89999400000005,494.5,470.19686900000005,352556
2016-05-27,494.200012,497.299988,489.0,496.0,471.623169,318073
2016-05-30,497.0,503.5,493.60000599999995,502.0,477.328278,327960
2016-05-31,500.5,502.0,495.60000599999995,495.799988,471.432953,486474
2016-06-01,493.299988,494.799988,485.89999400000005,487.5,463.54089400000004,513844
2016-06-02,488.5,492.700012,486.60000599999995,492.39999400000005,468.20007300000003,382597
2016-06-03,494.39999400000005,496.39999400000005,482.60000599999995,486.10000599999995,462.209717,328952
2016-06-07,486.799988,492.60000599999995,484.89999400000005,487.60000599999995,463.63598600000006,299338
2016-06-08,485.0,486.700012,480.10000599999995,483.200012,459.45224,349733
