Date,Open,High,Low,Close,Adj Close,Volume
2015-08-28,45.0,45.799999,42.5,44.0,41.514126,14363915
2015-08-31,43.0,45.0,42.599998,44.900002,42.363277000000004,10123535
2015-09-01,44.299999,45.299999,43.200001,43.599998,41.136722999999996,6696665
2015-09-02,44.5,44.799999,42.400002,44.0,41.514126,9990630
2015-09-03,45.0,45.400002,42.099998,42.400002,40.00452,15217560
2015-09-04,42.099998,44.700001,41.599998,43.900002,41.419777,14421105
2015-09-07,43.5,44.299999,41.700001,42.400002,40.00452,12528425
2015-09-08,45.400002,55.200001,45.400002,49.799999,46.986443,74443445
2015-09-09,51.400002,52.200001,47.400002,47.400002,44.722034,22640275
2015-09-10,46.900002,48.700001,44.5,45.0,42.457626,20615015
2015-09-11,44.799999,46.599998,43.099998,45.900002,43.306782,15484550
2015-09-14,44.400002,45.0,41.900002,42.0,39.627121,18724635
2015-09-15,42.200001,44.799999,41.900002,44.799999,42.268929,13402080
2015-09-16,45.599998,46.200001,43.0,43.700001,41.231075,18967045
2015-09-17,44.099998,48.099998,43.400002,47.5,44.816383,25647230
2015-09-18,47.5,50.700001,44.400002,48.0,45.288136,40180475
2015-09-21,47.900002,50.299999,47.400002,49.799999,46.986443,14706265
2015-09-22,49.799999,52.700001,49.599998,52.299999,49.3452,25279385
2015-09-23,52.0,55.900002,51.400002,55.700001,52.553107999999995,29530965
2015-09-24,55.599998,59.599998,53.0,54.799999,51.703957,46977090
2015-09-25,56.200001,59.5,56.099998,59.0,55.66666800000001,25995320
2015-09-28,59.599998,61.299999,57.799999,59.900002,56.515823,24185920
2015-09-29,58.5,60.799999,57.5,59.900002,56.515823,12977430
2015-09-30,61.599998,62.900002,60.5,61.799999,58.308475,25074510
2015-10-01,63.0,63.0,58.599998,59.200001,55.85536999999999,19186910
2015-10-02,59.599998,59.900002,56.700001,57.099998,53.874012,14705265
2015-10-05,57.400002,58.200001,54.0,54.400002,51.326557,17228435
2015-10-06,54.700001,57.099998,53.200001,55.799999,52.647456999999996,17921290
2015-10-07,54.599998,55.599998,53.799999,55.400002,52.270058,12003010
2015-10-08,59.400002,61.299999,58.0,59.0,55.66666800000001,29495160
2015-10-09,59.400002,61.0,57.099998,60.900002,57.459324,23773530
